id,name,variable,value,variable_n,%
E04004468,Oakley (Basingstoke and Deane),Consumption of goods and services - Purchase of goods (t CO2e),8682.086,Purchase of goods (t CO2e),19.3194133169297
E04004468,Oakley (Basingstoke and Deane),Consumption of goods and services - Use of services (t CO2e),3844.69,Use of services (t CO2e),8.55521993049442
E04004468,Oakley (Basingstoke and Deane),Consumption of goods and services - Other consumption related emissions (t CO2e),2850.136,Other consumption related emissions (t CO2e),6.34213429738669
E04004468,Oakley (Basingstoke and Deane),Food and diet - Meat and fish (t CO2e),4989.346,Food and diet - Meat and fish (t CO2e),11.1023131486108
E04004468,Oakley (Basingstoke and Deane),Food and diet - Other food and drink (t CO2e),4430.909,Food and diet - Other food and drink (t CO2e),9.85967684963081
E04004468,Oakley (Basingstoke and Deane),Housing - Mains gas (t CO2e),6082.701,Housing - Mains gas (t CO2e),13.5352511714698
E04004468,Oakley (Basingstoke and Deane),Housing - Electricity (t CO2e),2406.075,Housing - Electricity (t CO2e),5.35400794193143
E04004468,Oakley (Basingstoke and Deane),Housing - Oil (t CO2e),718.042,Housing - Oil (t CO2e),1.59778999849977
E04004468,Oakley (Basingstoke and Deane),Housing - LPG (t CO2e),32.771,Housing - LPG (t CO2e),0.0729221633843645
E04004468,Oakley (Basingstoke and Deane),Housing - Biomass (t CO2e),33.525,Housing - Biomass (t CO2e),0.0745999672716982
E04004468,Oakley (Basingstoke and Deane),Housing - Coal (t CO2e),81.977,Housing - Coal (t CO2e),0.182415556063594
E04004468,Oakley (Basingstoke and Deane),Travel - Flights (t CO2e),3827.39,Travel - Flights (t CO2e),8.51672389965772
E04004468,Oakley (Basingstoke and Deane),Travel - Public transport (t CO2e),1398.335,Travel - Public transport (t CO2e),3.11158076763222
E04004468,Oakley (Basingstoke and Deane),Travel - Private transport (t CO2e),5459.375,Travel - Private transport (t CO2e),12.1482236039948
E04004468,Oakley (Basingstoke and Deane),Waste - Waste (t CO2e),102.34,Waste - Waste (t CO2e),0.227727387042076
